ID,Date,Location_ID,Hydrologic,Parameter,Fraction,Value,Units,Method_name,Method_source
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Chloride,Dissolved,19,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Sulfate,Dissolved,26,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Alkalinity,Dissolved,98.5,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Alkalinity,Dissolved,93.3,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,171,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,166,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,3060,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000617,3/17/2020,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,0.23,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02100087,11/12/2020,USGS-01646580,Rising stage,"Temperature, water",,16.1,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.02100087,11/12/2020,USGS-01646580,Rising stage,pH,Total,7.6,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.02100087,11/12/2020,USGS-01646580,Rising stage,Carbon dioxide,Total,4.1,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02100087,11/12/2020,USGS-01646580,Rising stage,Bicarbonate,Dissolved,111,mg/l,,
nwismd.01.02100087,11/12/2020,USGS-01646580,Rising stage,Alkalinity,Dissolved,92,mg/l CaCO3,,
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage","Temperature, water",,5,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",pH,Total,8,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",pH,Total,8.4,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Carbon dioxide,Total,2.4,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Bicarbonate,Dissolved,135,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage","Hardness, Ca, Mg",,135,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Calcium,Dissolved,39.8,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Magnesium,Dissolved,8.57,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Sodium,Dissolved,10.5,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Potassium,Dissolved,1.75,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Chloride,Dissolved,18.7,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Sulfate,Dissolved,22.9,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Alkalinity,Dissolved,103,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Alkalinity,Dissolved,112,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,181,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,186,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,8520,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900793,2/7/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,0.25,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage","Temperature, water",,23.2,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",pH,Total,8.3,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",pH,Total,8.5,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Carbon dioxide,Total,1,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Bicarbonate,Dissolved,135,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage","Hardness, Ca, Mg",,151,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Calcium,Dissolved,42.6,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Magnesium,Dissolved,10.8,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Sodium,Dissolved,11,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Potassium,Dissolved,2.32,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Chloride,Dissolved,18.8,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Sulfate,Dissolved,27.1,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Alkalinity,Dissolved,115,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Alkalinity,Dissolved,114,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,209,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,192,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,5700,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901226,6/4/2019,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,0.28,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,"Temperature, water",,27.1,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,pH,Total,7.8,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,pH,Total,8.1,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Carbon dioxide,Total,2.5,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Bicarbonate,Dissolved,99,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,"Hardness, Ca, Mg",,107,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Calcium,Dissolved,28.6,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Magnesium,Dissolved,8.65,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Sodium,Dissolved,11.1,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Potassium,Dissolved,3.38,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Chloride,Dissolved,19.4,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Sulfate,Dissolved,21.6,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Alkalinity,Dissolved,82.8,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Alkalinity,Dissolved,81.9,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Total dissolved solids,Dissolved,155,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Total dissolved solids,Dissolved,153,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Total dissolved solids,Dissolved,2790,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02001053,8/5/2020,USGS-01646580,Falling stage,Total dissolved solids,Dissolved,0.21,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage","Temperature, water",,3.7,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",pH,Total,7.7,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",pH,Total,8.3,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Carbon dioxide,Total,3.1,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Bicarbonate,Dissolved,101,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage","Hardness, Ca, Mg",,111,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Calcium,Dissolved,32.4,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Magnesium,Dissolved,7.18,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Sodium,Dissolved,10.7,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Potassium,Dissolved,1.75,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Chloride,Dissolved,19.8,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Sulfate,Dissolved,20.6,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Alkalinity,Dissolved,85.6,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Alkalinity,Dissolved,83.9,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Total dissolved solids,Dissolved,162,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Total dissolved solids,Dissolved,157,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Total dissolved solids,Dissolved,12600,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01900878,3/7/2019,USGS-01646580,"Stable, high stage",Total dissolved solids,Dissolved,0.22,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage","Temperature, water",,5.8,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",pH,Total,7.7,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",pH,Total,8.1,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Carbon dioxide,Total,3.1,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Bicarbonate,Dissolved,85.3,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage","Hardness, Ca, Mg",,111,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Calcium,Dissolved,32.7,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Magnesium,Dissolved,7,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Sodium,Dissolved,8.62,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Potassium,Dissolved,1.71,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Chloride,Dissolved,14.7,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Sulfate,Dissolved,25.5,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Alkalinity,Dissolved,77.4,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Alkalinity,Dissolved,70.6,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,148,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,145,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,4840,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000547,2/20/2020,USGS-01646580,"Stable, normal stage",Total dissolved solids,Dissolved,0.2,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage","Temperature, water",,24.8,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",pH,Total,8.3,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",pH,Total,8.4,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Carbon dioxide,Total,1.1,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Bicarbonate,Dissolved,139,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage","Hardness, Ca, Mg",,168,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Calcium,Dissolved,42.5,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Magnesium,Dissolved,15,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Sodium,Dissolved,15,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Potassium,Dissolved,3.55,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Chloride,Dissolved,26.9,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Sulfate,Dissolved,42.2,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Alkalinity,Dissolved,121,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Alkalinity,Dissolved,115,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,222,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,222,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,1020,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000001,10/2/2019,USGS-01646580,"Stable, low stage",Total dissolved solids,Dissolved,0.3,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,"Temperature, water",,29.5,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,pH,Total,8.2,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,pH,Total,8.3,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Carbon dioxide,Total,1.2,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Bicarbonate,Dissolved,113,mg/l,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,"Hardness, Ca, Mg",,121,mg/l CaCO3,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Calcium,Dissolved,33.8,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Magnesium,Dissolved,8.77,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Sodium,Dissolved,10.1,mg/l,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Potassium,Dissolved,2.72,mg/l,"Potassium, wf, by ICP-OES",Standard Methods
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Chloride,Dissolved,18.3,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Sulfate,Dissolved,22.4,mg/l,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Alkalinity,Dissolved,96.4,mg/l CaCO3,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Alkalinity,Dissolved,94.5,mg/l CaCO3,"Alkalinity, IPT, Hach",USGS National Field Manual
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Total dissolved solids,Dissolved,3160,tons/day,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Total dissolved solids,Dissolved,171,mg/l,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Total dissolved solids,Dissolved,165,mg/l,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.01901459,7/23/2019,USGS-01646580,Rising stage,Total dissolved solids,Dissolved,0.23,tons/ac ft,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7"
nwismd.01.02000783,6/4/2020,USGS-01646580,"Stable, normal stage","Temperature, water",,24.7,deg C,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1"
nwismd.01.02000783,6/4/2020,USGS-01646580,"Stable, normal stage",pH,Total,8.3,std units,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4"
nwismd.01.02000783,6/4/2020,USGS-01646580,"Stable, normal stage",pH,Total,8.2,std units,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363"
